Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
39,-0.1774,-0.1187,0.2462,2.9328,0.1835,1.2772
40,-0.1781,-0.1199,0.2459,2.9268,0.1872,1.2808
41,-0.1789,-0.1212,0.2457,2.9198,0.1916,1.2851
42,-0.1796,-0.1225,0.2454,2.9127,0.1961,1.2893
43,-0.1804,-0.1237,0.2451,2.9056,0.2006,1.2936
44,-0.1812,-0.125,0.2448,2.8983,0.2053,1.298
45,-0.1819,-0.1262,0.2445,2.8909,0.21,1.3025
46,-0.1828,-0.1275,0.2441,2.8834,0.2148,1.307
47,-0.1836,-0.1288,0.2437,2.8758,0.2197,1.3116
48,-0.1844,-0.1301,0.2433,2.868,0.2246,1.3163
49,-0.1852,-0.1314,0.2429,2.8602,0.2297,1.321
50,-0.186,-0.1328,0.2425,2.8522,0.2348,1.3258
51,-0.1868,-0.1339,0.242,2.8441,0.24,1.3307
52,-0.1876,-0.1354,0.2415,2.8365,0.2449,1.3353
53,-0.1884,-0.1367,0.2411,2.8279,0.2504,1.3405
54,-0.1892,-0.1382,0.2405,2.82,0.2555,1.3452
55,-0.1901,-0.1396,0.2399,2.8111,0.2613,1.3507
56,-0.191,-0.1411,0.2393,2.8022,0.267,1.356
57,-0.1919,-0.1426,0.2387,2.7933,0.2728,1.3614
58,-0.1927,-0.1438,0.2382,2.7844,0.2786,1.3667
59,-0.1935,-0.1454,0.2375,2.7762,0.2839,1.3717
60,-0.1944,-0.147,0.2368,2.7668,0.29,1.3774
61,-0.197,-0.1484,0.2357,2.7571,0.2966,1.3832
62,-0.1977,-0.1498,0.2351,2.7465,0.304,1.3895
63,-0.1982,-0.1511,0.2345,2.7378,0.3094,1.3947
64,-0.2011,-0.1524,0.2335,2.729,0.3151,1.4
65,-0.2015,-0.154,0.2329,2.7188,0.322,1.4061
66,-0.2018,-0.1556,0.2323,2.7096,0.3277,1.4117
67,-0.2041,-0.1569,0.2317,2.6997,0.3341,1.4176
68,-0.2047,-0.1587,0.231,2.6895,0.341,1.4237
69,-0.207,-0.1603,0.2304,2.6797,0.3472,1.4296
70,-0.2072,-0.1618,0.2299,2.6695,0.3539,1.4356
71,-0.2093,-0.1636,0.2294,2.6605,0.3596,1.4411
72,-0.2093,-0.1653,0.2288,2.6498,0.3665,1.4475
73,-0.2115,-0.1671,0.2283,2.6397,0.3729,1.4536
74,-0.2135,-0.1688,0.228,2.6288,0.3801,1.4601
75,-0.2132,-0.1705,0.2275,2.6186,0.3866,1.4662
76,-0.2158,-0.1723,0.2273,2.6085,0.3928,1.4723
77,-0.2156,-0.174,0.2268,2.598,0.3995,1.4786
78,-0.2181,-0.1758,0.2266,2.5878,0.4059,1.4848
79,-0.2199,-0.1777,0.2263,2.5766,0.4132,1.4914
80,-0.2194,-0.1794,0.2258,2.5662,0.4198,1.4977
81,-0.2219,-0.1813,0.2256,2.556,0.4261,1.5039
82,-0.2241,-0.1831,0.2256,2.5447,0.4334,1.5106
83,-0.2236,-0.1848,0.225,2.5341,0.44,1.517
84,-0.2258,-0.1867,0.2248,2.5238,0.4465,1.5233
85,-0.228,-0.1886,0.2247,2.5124,0.4538,1.53
86,-0.2273,-0.1904,0.2241,2.5017,0.4605,1.5364
87,-0.2296,-0.1923,0.2238,2.4913,0.467,1.5428
88,-0.2317,-0.1942,0.2237,2.4798,0.4744,1.5496
89,-0.2336,-0.1961,0.2236,2.4685,0.4816,1.5563
90,-0.2328,-0.1977,0.223,2.4579,0.4882,1.5628
91,-0.2348,-0.1997,0.2226,2.4482,0.4943,1.5687
92,-0.2368,-0.2017,0.2224,2.4363,0.502,1.5758
93,-0.2386,-0.2036,0.2223,2.4247,0.5093,1.5827
94,-0.2402,-0.2055,0.2221,2.4134,0.5164,1.5895
95,-0.2391,-0.2073,0.2212,2.4027,0.5231,1.596
96,-0.2413,-0.2091,0.2212,2.3921,0.5297,1.6024
97,-0.2432,-0.2111,0.2209,2.3814,0.5366,1.6089
98,-0.2447,-0.2129,0.2206,2.3695,0.5441,1.616
99,-0.2462,-0.215,0.2203,2.359,0.5508,1.6223
100,-0.2476,-0.217,0.2199,2.3472,0.5583,1.6294
101,-0.249,-0.2189,0.2196,2.3357,0.5655,1.6363
102,-0.2509,-0.2208,0.2196,2.3244,0.5727,1.6431
103,-0.2522,-0.2229,0.2192,2.313,0.5798,1.6499
104,-0.2533,-0.2247,0.2188,2.3011,0.5873,1.6571
105,-0.255,-0.2266,0.2187,2.2903,0.5941,1.6636
106,-0.2565,-0.2285,0.2185,2.2793,0.6011,1.6702
107,-0.2579,-0.2303,0.2182,2.2682,0.608,1.6769
108,-0.2563,-0.2321,0.217,2.2577,0.6146,1.6833
109,-0.2587,-0.2341,0.2169,2.2473,0.6213,1.6897
110,-0.2607,-0.2361,0.2167,2.2347,0.6293,1.6972
111,-0.2627,-0.238,0.2166,2.2238,0.6362,1.7038
112,-0.2639,-0.2399,0.2162,2.2128,0.6431,1.7104
113,-0.2653,-0.2415,0.216,2.2018,0.65,1.717
